person1,person2,common_pubs
1024225,1023938,24
1024225,1023842,4
1024225,1022935,1
1024225,1022051,13
1024225,1021586,24
1024225,1021766,24
1024225,1034919,5
1024225,1021641,24
1024225,1021530,20
1024225,1005590,26
1024225,1021882,20
1024225,1022620,26
1024225,1023018,26
1024225,1024420,26
1024225,1024185,26
1024225,1024119,24
1024225,1023272,12
1024225,1034785,24
1024225,1021804,26
1024225,1023380,24
1024225,1023783,1
1024225,1025859,6
1024225,1022801,26
1024225,1022317,25
1024225,1023233,24
1024225,1023964,5
1024225,1024457,7
1024225,1021699,8
1024225,1022648,26
1024225,1022729,17
1024225,1024111,24
1024225,1026934,3
1024225,1023109,26
1024225,1021966,18
1024225,1022780,26
1024225,1022525,1
1024225,1024329,1
1024225,1024426,26
1024225,1024359,2
1024225,1024275,8
1024225,1023240,26
1024225,1023916,1
1024225,1022439,20
1024225,1029074,24
1024225,1024381,4
1024225,1022645,26
1024225,1034942,10
1024225,1021765,26
1024225,1023103,26
1024225,1022305,18
1024225,1027252,6
1024225,1021680,6
1024225,1022912,26
1024225,1022031,13
1024225,1023122,23
1024225,1024639,1
1024225,1023088,1
1024225,1026042,3
1024225,1021745,26
1024225,1027463,22
1024225,1022143,2
1024225,1021572,26
1024225,1021716,26
1024225,1024652,23
1024225,1021887,26
1024225,1021468,26
1024225,1021792,2
1024225,1034844,24
1024225,1024372,9
1024225,1024443,24
1024225,1026783,12
1024225,1021476,21
1024225,1025781,13
1024225,1022108,23
1024225,1022573,10
1024225,1022598,19
1024225,1021932,24
1024225,1034897,24
1024225,1023629,26
1024225,1022053,26
1024225,1023915,26
1024225,1021960,26
1024225,1023518,26
1024225,1022359,26
1024225,1022221,24
1024225,1021626,4
1024225,1024148,26
1024225,1024011,26
1024225,1021833,26
1024225,1034835,24
1024225,1024140,2
1024225,1022015,4
1024225,1027219,9
1024225,1024458,23
1024225,1021875,26
1024225,1021687,16
1024225,1035445,3
1024225,1023382,2
1024225,1023366,26
1024225,1023420,22
1024225,1023471,2
